Item,Venue,Time,Region [ Region_warehouse ],Dollar Sales,Unit Sales,Days of Supply,Inventory Turns,Inventory On Hand,On Order,In Transit,Quantity Received,OOS,Warehouses Selling,Number of Warehouses,Flavor,Flavor / Scent,% Discount,Average Coupon Value,Average Promoted Price,Coupon Dollars,Coupon Units,Non Promoted Dollars,Non Promoted Units,Promoted Dollars,Promoted Units,Total Discount Dollars,Average Diesel Fuel Price per gallon,Average Regular Gas Price per gallon,Average Mid-grade Gas Price per gallon,Average Premium Gas Price per gallon,In Stock %
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1003 WOODLAND,1 week ending 04-16-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,4.89,4.60,4.83,5.00,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1003 WOODLAND,1 week ending 04-23-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,4.83,4.60,4.84,5.02,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1003 WOODLAND,1 week ending 04-30-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,4.78,4.63,4.83,4.99,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1003 WOODLAND,1 week ending 05-07-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,4.75,4.67,4.87,5.08,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1003 WOODLAND,1 week ending 05-14-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,4.75,4.67,4.87,5.07,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1003 WOODLAND,1 week ending 05-21-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,4.69,4.65,4.86,5.06,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1003 WOODLAND,1 week ending 05-28-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,4.69,4.63,4.84,5.05,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1003 WOODLAND,1 week ending 06-04-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,4.68,4.65,4.86,5.06,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1003 WOODLAND,1 week ending 06-11-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,4.68,4.67,4.88,5.09,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1003 WOODLAND,1 week ending 06-18-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,4.69,4.72,4.93,5.12,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1003 WOODLAND,1 week ending 06-25-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,4.73,4.73,4.92,5.10,
